Time,Food,Energy,Apparel,New vehicles,Medical care commodities,Tobacco and smoking products,Shelter,Transportation services
201203,232.792,253.599,127.258,144.35,333.188,845.76,255.609,270.604
201204,233.234,255.736,128.485,144.522,333.06,847.032,256.031,272.146
201205,233.339,250.306,127.688,144.401,333.131,845.622,256.442,272.912
201206,233.563,244.167,125.241,144.367,333.348,849.078,256.95,273.239
201207,233.63,239.972,122.3,143.953,335.048,858.73,257.409,272.86
201208,234.156,250.306,123.568,143.749,336.004,857.727,257.843,272.651
201209,234.298,256.332,128.63,143.725,335.721,859.094,258.252,273.044
201210,234.878,250.523,131.359,144.011,335.768,858.115,258.829,274.883
201211,234.896,238.946,129.573,144.762,334.285,858.504,258.999,276.008
201212,235.39,233.473,125.656,145.181,332.684,862.945,259.298,276.982
201301,236.341,234.624,124.687,145.871,334.046,867.646,260.039,277.406
201302,236.301,248.146,126.303,145.925,334.405,865.607,260.72,277.96
201303,236.332,249.565,128.279,145.989,335.198,863.888,261.33,278.874
201304,236.841,244.757,128.861,146.188,335.293,869.057,261.655,279.065
201305,236.526,247.805,127.952,145.955,333.064,868.983,262.289,279.948
201306,236.792,251.921,126.205,146.076,333.837,869.824,262.907,280.184
201307,237.001,251.37,124.215,145.726,334.673,881.77,263.451,281.08
201308,237.406,250.011,125.767,145.316,335.985,885.588,264.024,279.523
201309,237.522,248.513,129.701,145.457,336.527,886.493,264.344,279.491
201310,237.871,238.524,131.07,145.488,337.478,887.056,264.719,281.697
201311,237.641,233.136,129.435,145.643,337.006,885.518,265.31,283.116
201312,237.869,234.542,126.461,145.766,333.801,890.438,265.881,281.68
201401,238.872,239.551,124.275,145.88,336.756,896.539,266.754,280.687
201402,239.608,242.041,125.493,146.421,340.067,895.29,267.418,281.759
201403,240.398,250.543,128.888,146.348,339.567,895.841,268.431,282.663
201404,241.337,252.717,129.629,146.724,340.535,896.306,268.899,285.402
201405,242.344,255.982,128.963,146.708,341.432,898.143,269.766,288.627
201406,242.326,259.858,127.302,146.067,343.224,907.216,270.314,289.018
201407,243.034,257.907,124.645,146.086,344.687,904.614,271.115,286.239
201408,243.811,250.951,125.726,145.873,344.755,904.961,271.675,283.786
201409,244.63,247.077,130.324,145.88,346.347,904.487,272.165,283.425
201410,245.166,234.745,131.961,146.306,346.324,909.872,272.788,286.691
201411,245.192,221.844,129.023,146.481,347.616,909.61,273.233,288.174
201412,245.976,209.785,123.942,146.524,349.75,916.707,273.598,286.585
201501,246.538,192.619,122.527,146.558,349.98,917.733,274.589,286.644
201502,246.68,196.597,124.457,147.345,353.484,918.602,275.39,287.914
201503,246.045,204.731,128.245,147.574,353.995,919.24,276.36,288.349
201504,246.121,203.715,128.593,147.844,354.339,917.843,276.978,289.971
201505,246.187,214.33,127.083,147.889,354.647,920.372,277.563,292.994
201506,246.68,220.861,124.954,147.845,354.524,929.542,278.461,293.93
201507,247.003,219.852,122.607,147.154,355.235,935.913,279.559,292.119
201508,247.671,213.248,124.547,146.704,356.334,939.082,280.093,289.798
201509,248.632,201.641,128.54,146.57,355.746,938.348,280.814,289.576
201510,249.052,194.501,129.446,146.516,355.894,940.901,281.499,291.969
201511,248.306,189.267,127.039,146.804,356.286,943.157,281.932,294.8
201512,247.903,183.378,122.792,146.817,355.03,949.439,282.394,294.081
201601,248.631,180.171,121.878,147.456,357.414,952.536,283.498,294.42
201602,248.8,172.061,125.567,148.268,361.435,951.247,284.435,295.533
201603,247.978,179.017,127.427,148.227,362.386,953.512,285.196,296.363
201604,248.413,185.652,127.77,147.895,363.843,952.185,285.836,299.635
201605,247.86,192.673,127.758,147.646,362.439,953.769,286.924,302.381
201606,247.482,200.035,125.472,147.245,366.033,962.838,288.069,302.768
201607,247.554,195.94,123.03,147.119,368.147,962.63,288.78,300.823
201608,247.719,193.524,124.871,146.713,372.393,969.004,289.605,298.876
201609,247.917,195.852,128.429,146.499,374.142,970.921,290.445,298.129
201610,248.073,194.786,130.328,146.896,373.792,973.535,291.407,299.622
201611,247.435,191.402,127.377,147.027,371.54,975.11,291.953,302.164
201612,247.313,193.306,122.637,147.299,371.561,983.271,292.612,302.41
201701,248.242,199.608,123.088,148.848,374.15,984.721,293.56,303.718
201702,248.791,198.195,126.1,148.993,376.078,984.756,294.444,306.221
201703,249.165,198.597,128.25,148.543,376.44,987.91,295.044,307.49
201704,249.739,202.869,128.349,148.457,373.231,1025.961,295.706,308.908
201705,250.016,203.132,126.563,148.033,373.631,1026.125,296.503,311.178
201706,249.653,204.646,124.63,147.262,376.182,1028.777,297.446,312.012
201707,250.214,202.554,122.485,146.19,380.302,1030.729,297.919,310.567
201708,250.493,205.894,124.147,145.712,381.114,1029.619,299.157,309.469
201709,250.993,215.711,128.15,145.037,377.869,1031.891,299.844,309.704
201710,251.364,207.29,129.57,144.868,377.038,1047.932,300.846,312.29
201711,250.871,209.383,125.398,145.442,378.328,1048.219,301.185,313.772
201712,251.238,206.598,120.614,146.522,380.087,1046.785,301.985,313.645
201801,252.361,210.663,122.266,146.996,380.846,1050.073,302.928,315.764
201802,252.266,213.519,126.587,146.807,381.975,1049.343,303.653,320.089
201803,252.37,212.554,128.604,146.727,381.804,1046.45,304.847,320.774
201804,253.209,218.83,129.365,146.069,380.479,1056.874,305.716,321.437
201805,253.098,226.81,128.362,146.349,383.734,1059.665,306.913,322.966
201806,253.231,229.137,125.382,146.562,385.121,1060.067,307.521,323.646
201807,253.746,227.107,122.831,146.526,381.954,1062.895,308.393,322.842
201808,254.077,226.939,122.447,146.149,382.171,1064.098,309.296,321.387
201809,254.393,226.165,127.44,145.715,380.535,1065.017,309.702,322.241
201810,254.358,225.757,129.108,145.588,379.662,1081.193,310.382,324.131
201811,254.379,215.91,124.935,145.826,380.658,1083.514,310.95,324.168
201812,255.21,205.905,120.526,146.126,378.19,1082.248,311.652,322.317
201901,256.417,200.563,122.422,147.059,379.777,1085.997,312.696,322.216
201902,257.222,202.74,125.631,147.226,377.949,1088.195,313.88,323.575
201903,257.724,211.724,125.785,147.788,379.568,1103.24,315.135,323.982
201904,257.708,222.499,125.542,147.84,381.256,1105.201,316.263,325.114
201905,258.11,225.773,124.429,147.659,381.066,1108.299,317.188,326.397
201906,258.064,221.373,123.749,147.417,379.462,1109.099,318.3,326.667
201907,258.274,222.492,122.161,147.035,380.278,1120.066,319.136,325.105
201908,258.41,216.978,123.641,146.456,382.519,1124.082,319.679,324.396
201909,258.943,215.418,127.009,145.854,379.53,1128.109,320.569,324.717
201910,259.632,216.351,126.154,145.726,383.498,1134.55,320.762,326.582
201911,259.467,214.636,122.986,145.728,383.025,1142.857,321.267,326.686
201912,259.823,212.982,119.111,146.22,387.533,1141.6,321.766,324.209
202001,261.057,213.043,120.853,147.253,386.331,1144.642,323.053,324.5
202002,261.876,208.354,124.438,147.803,384.701,1148.752,324.254,327.466
202003,262.708,199.573,123.815,147.124,384.498,1162.66,324.615,321.61
202004,266.757,183.081,118.394,147.007,383.911,1159.847,324.522,307.25
202005,268.439,183.076,114.582,147.222,384.304,1156.179,325.265,297.882
202006,269.77,193.379,114.734,147.108,384.259,1165.761,325.814,303.942
202007,268.863,197.665,114.267,147.803,384.377,1178.054,326.58,312.938
202008,269.079,197.362,116.299,147.412,385.409,1180.537,326.997,311.422
202009,269.163,198.858,119.354,147.361,383.031,1183.975,327.116,308.143
202010,269.828,196.458,119.172,147.956,380.371,1186.127,327.273,309.965
202011,269.069,194.388,116.602,148.063,378.81,1192.609,327.435,315.554
202012,270.023,198.155,114.434,149.091,377.921,1199.508,327.702,312.959
202101,270.938,205.273,117.785,149.377,377.546,1220.942,328.282,311.312
202102,271.363,213.277,119.998,149.515,374.905,1228.75,329.005,313.16
202103,271.812,225.861,120.746,149.321,375.111,1236.352,330.122,316.345
202104,273.09,229.116,120.656,149.892,377.284,1238.348,331.354,324.519
202105,274.212,235.339,120.951,152.143,377.191,1240.082,332.454,331.188
202106,276.206,240.72,120.324,154.847,375.697,1247.577,334.222,335.548
202107,278.127,244.8,119.078,157.203,376.323,1253.276,335.812,332.917
202108,279.135,246.639,121.194,158.652,375.685,1254.492,336.284,325.652
202109,281.506,248.228,123.406,160.244,376.842,1263.542,337.451,321.673
202110,284.205,255.338,124.323,162.527,379.003,1287.067,338.671,323.903
202111,285.507,259.1,122.383,164.511,379.483,1298.746,339.997,327.749
202112,286.966,256.207,121.068,166.653,379.611,1308.024,341.241,326.063
